Family,Cluster
BSH2%UPI000DF74F5E,6
BSH2%UPI000DF7AEC4,6
BSH2%UPI000DF86417,1
BSH2%UPI000E40484B,2
BSH2%UPI000E466DA6,4
BSH2%UPI000E4BF981,2
BSH2%UPI000E4E4D64,4
BSH2%UPI000E53BC4B,5
BSH2%UPI000E53DAEE,0
BSH2%UPI000E80FD85,0
BSH2%UPI000E8B2418,2
BSH2%UPI000E8E16B0,1
BSH2%UPI000E91045C,6
BSH2%UPI000EC98B2C,4
BSH2%UPI000EE4CDBB,6
BSH3%UPI00016547A5,2
BSH3%UPI00017EF3F1,3
BSH3%UPI0001A5F983,0
BSH3%UPI0002132A6C,0
BSH3%UPI00033CE23D,0
BSH3%UPI00035F5DCE,0
BSH3%UPI00080CB216,1
BSH3%UPI000CF406F5,1
BSH3%UPI000E4DFA31,2
BSH3%UPI000E555DC1,0
BSH3%UPI000EF23C17,5
BSH4%UPI000463D8BF,6
BSH4%UPI000822CCAE,3
BSH4%UPI000B375707,0
BSH4%UPI000E54B9B5,4
BaiA%QinJ_2012__T2D-016__bin_41_fa_BDDCEIPF_01842__3alpha-hydroxy_bile_acid-CoA-ester_3-dehydrogenase_2,6
BaiA%SRR3992974_bin_8_EOPEKEED_01051__3-oxoacyl-_acyl-carrier-protein__reductase_FabG,5
BaiA%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_861,2
BaiA%bai_cluster_3%midas_Clostridium_hylemonae_61789%Clostridium_hylemonae_61789|NZ_GG657759_1098,2
BaiB%CosteaPI_2017__SID713A038-11-90-0__bin_26_fa_FGHNBBEK_00429__Bile_acid-coenzyme_A_ligase,5
BaiB%MDY5565236_1_bile_acid--CoA_ligase_BaiB__Candidatus_Limivicinus_sp__,1
BaiB%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01958__Bile_acid-coenzyme_A_ligase,3
BaiB%WP_286151641_1_bile_acid--CoA_ligase_BaiB__Sporofaciens_musculi_,2
BaiB%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3065,2
BaiB%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_871,2
BaiCD%HIT29267_1_FAD-dependent_oxidoreductase__Candidatus_Scatomorpha_stercoravium_,3
BaiCD%MCI8583944_1_FAD-dependent_oxidoreductase__Dorea_sp__,1
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,2
BaiCD%XieH_2016__YSZC12003_35390__bin_5_fa_PIKIEFGP_00577__NADH_oxidase,4
BaiCD%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_290,2
BaiCD%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3076,2
BaiE%FengQ_2015__SID531416__bin_49_fa_CEDOFBAM_00064__Bile_acid_7-alpha_dehydratase,3
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,5
BaiE%MCI8938768_1_nuclear_transport_factor_2_family_protein__Dorea_sp__,5
BaiE%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_166,2
BaiE%fig|1950888_3_peg_203|__Bile_acid_7-alpha_dehydratase_(EC_4_2_1_106)_(BA7_alpha_dehydratase)_(Bile_acid-inducible_operon_protein_E)____Clostridiales_bacterium_UBA4701_|_1950888_3_,2
BaiF%LiJ_2014__MH0358__bin_56_fa_NPCPOAJM_00305__Bile_acid-CoA_transferase,3
BaiF%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01956__Bile_acid-CoA_transferase,2
BaiF%RaymondF_2016__P21E7__bin_22_fa_DDJCLBHB_00373__Bile_acid-CoA_transferase,3
BaiF%SRR4783510_bin_28_GHBMCCFK_00008__L-carnitine_CoA-transferase,2
BaiF%SRR5127813_bin_22_DKEDJIEF_00985__Bile_acid-CoA_transferase,5
BaiF%bai_cluster_17%midas_Proteocatella_sphenisci_59007%Proteocatella_sphenisci_59007|AUID01000012_911,3
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,2
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_10986,2
BaiF%bai_cluster_3%midas_Clostridium_hylemonae_61789%Dorea_sp_89094|KQ236743_13110,2
BaiF%fig|1950825_3_peg_1464|__L-carnitine_dehydratase_(EC_4_2_1_89)____Clostridiales_bacterium_UBA1701_|_1950825_3_,3
BaiG%LeChatelierE_2013__MH0251__bin_10_fa_BOBEKBFD_00006__Multidrug_resistance_protein_3,0
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,0
BaiG%MDY4488523_1_MFS_transporter__Candidatus_Limivicinus_sp__,3
BaiG%MEE1256339_1_MFS_transporter__Lachnospiraceae_bacterium_,2
BaiG%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3097,2
BaiH%LiJ_2014__MH0370__bin_37_fa_CDDPILMH_00099__NADH_oxidase,3
BaiH%MEE0204071_1_FAD-dependent_oxidoreductase__Oscillospiraceae_bacterium_,5
BaiH%MFR3389927_1_7-beta-dihydroxy-3-oxo-5-beta-cholanoyl-CoA_4-oxidoreductase_BaiH___Clostridium__scindens_,6
BaiH%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01962__NADH_oxidase,2
BaiH%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_308,5
BaiH%bai_cluster_11%midas_Romboutsia_sp_25236%Romboutsia_sp_25236|FJTZ01000011_310,5
BaiH%bai_cluster_17%midas_Proteocatella_sphenisci_59007%Proteocatella_sphenisci_59007|AUID01000012_928,5
BaiH%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_836,2
BaiH%bai_cluster_3%midas_Clostridium_hylemonae_61789%Clostridium_hylemonae_61789|NZ_GG657759_22762,2
BaiI%LiJ_2014__MH0370__bin_37_fa_CDDPILMH_01838__hypothetical_protein,1
BaiI%LiJ_2014__V1_FI04__bin_94_fa_MJMNNJHI_00331__hypothetical_protein,1
BaiI%QinJ_2012__CON-070__bin_41_fa_AAAKDJOM_00400__hypothetical_protein,2
BaiI%WP_279004450_1_nuclear_transport_factor_2_family_protein__partial___Clostridium__scindens_,2
BaiI%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000003_2059,2
