Sample,PRISM.7122,PRISM.7147,PRISM.7150,PRISM.7153,PRISM.7184,PRISM.7238,PRISM.7406,PRISM.7408,PRISM.7421,PRISM.7445,PRISM.7486,PRISM.7496,PRISM.7506,PRISM.7547,PRISM.7658,PRISM.7662,PRISM.7744,PRISM.7759,PRISM.7762,PRISM.7776,PRISM.7791,PRISM.7843,PRISM.7847,PRISM.7852,PRISM.7855,PRISM.7858,PRISM.7860,PRISM.7861,PRISM.7862,PRISM.7870,PRISM.7874,PRISM.7875,PRISM.7879,PRISM.7897,PRISM.7899,PRISM.7904,PRISM.7906,PRISM.7908,PRISM.7909,PRISM.7910,PRISM.7911,PRISM.7912,PRISM.7938,PRISM.7941,PRISM.7947,PRISM.7948,PRISM.7955,PRISM.7971,PRISM.7989,PRISM.8095,PRISM.8096,PRISM.8101,PRISM.8106,PRISM.8129,PRISM.8226,PRISM.8244,PRISM.8264,PRISM.8275,PRISM.8283,PRISM.8332,PRISM.8336,PRISM.8361,PRISM.8374,PRISM.8377,PRISM.8406,PRISM.8441,PRISM.8444,PRISM.8447,PRISM.8458,PRISM.8462,PRISM.8464,PRISM.8466,PRISM.8467,PRISM.8475,PRISM.8483,PRISM.8485,PRISM.8496,PRISM.8503,PRISM.8511,PRISM.8513,PRISM.8515,PRISM.8523,PRISM.8534,PRISM.8537,PRISM.8550,PRISM.8564,PRISM.8565,PRISM.8573,PRISM.8577,PRISM.8589,PRISM.8591,PRISM.8592,PRISM.8605,PRISM.8624,PRISM.8628,PRISM.8629,PRISM.8667,PRISM.8675,PRISM.8683,PRISM.8692,PRISM.8696,PRISM.8728,PRISM.8734,PRISM.8735,PRISM.8746,PRISM.8749,PRISM.8753,PRISM.8754,PRISM.8758,PRISM.8764,PRISM.8765,PRISM.8774,PRISM.8776,PRISM.8778,PRISM.8783,PRISM.8784,PRISM.8785,PRISM.8788,PRISM.8789,PRISM.8794,PRISM.8795,PRISM.8800,PRISM.8802,PRISM.8803,PRISM.8805,PRISM.8806,PRISM.8807,PRISM.8809,PRISM.8815,PRISM.8841,PRISM.8843,PRISM.8844,PRISM.8846,PRISM.8847,PRISM.8849,PRISM.8878,PRISM.8882,PRISM.8892,PRISM.8894,PRISM.8898,PRISM.8924,PRISM.8932,PRISM.8982,PRISM.8998,PRISM.9010,PRISM.9018,PRISM.9030,PRISM.9033,PRISM.9074,PRISM.9079,PRISM.9126,PRISM.9148,Validation.LLDeep_0001,Validation.LLDeep_0003,Validation.LLDeep_0010,Validation.LLDeep_0011,Validation.LLDeep_0012,Validation.LLDeep_0015,Validation.LLDeep_0018,Validation.LLDeep_0021,Validation.LLDeep_0022,Validation.LLDeep_0024,Validation.LLDeep_0026,Validation.LLDeep_0027,Validation.LLDeep_0028,Validation.LLDeep_0029,Validation.LLDeep_0030,Validation.LLDeep_0033,Validation.LLDeep_0034,Validation.LLDeep_0037,Validation.LLDeep_0039,Validation.LLDeep_0043,Validation.LLDeep_0047,Validation.LLDeep_0052,Validation.UMCG0333264,Validation.UMCG1180653,Validation.UMCG1576297,Validation.UMCG1705352,Validation.UMCG1708847,Validation.UMCG2023308,Validation.UMCG2136686,Validation.UMCG2739287,Validation.UMCG2788516,Validation.UMCG3243705,Validation.UMCG3299495,Validation.UMCG3321127,Validation.UMCG3595094,Validation.UMCG3748218,Validation.UMCG4000898,Validation.UMCG4081271,Validation.UMCG4268471,Validation.UMCG4722506,Validation.UMCG4789724,Validation.UMCG4851027,Validation.UMCG5113553,Validation.UMCG5308346,Validation.UMCG5437940,Validation.UMCG5613882,Validation.UMCG5792346,Validation.UMCG5921444,Validation.UMCG6047689,Validation.UMCG6054655,Validation.UMCG6262744,Validation.UMCG6628208,Validation.UMCG6720116,Validation.UMCG6738619,Validation.UMCG6868484,Validation.UMCG6966873,Validation.UMCG7115152,Validation.UMCG7198526,Validation.UMCG7563651,Validation.UMCG8089650,Validation.UMCG8255148,Validation.UMCG8438880,Validation.UMCG9119812,Validation.UMCG9189151,Validation.UMCG9830707
C18-neg_Cluster_0001: NA,0,1635.54,0,203.783,0,384.437,0,0,451.549,0,598.221,1871.89,899.848,339.274,0,0,0,919.532,593.158,0,0,0,0,888.773,0,0,0,0,0,0,0,73.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,583.006,0,1067.67,0,0,364.1,0,0,677.48,0,0,0,64.2127,0,0,0,0,0,0,0,0,0,2576.11,124.114,0,0,0,301.561,0,0,0,576.704,0,0,74.6723,1583.98,0,0,619.621,1637.8,557.907,0,1132.95,0,0,0,515.517,370.29,0,3025.32,0,1402.46,0,0,0,884.258,0,2132.53,149.718,0,0,0,0,290.631,0,0,0,0,0,0,0,0,0,0,0,509.962,117.886,1130.25,1272.95,462.789,411.703,0,0,0,0,0,0,395.783,1062.23,0,0,0,0,0,0,146.516,0,2588.24,0,1758.24,0,633.115,1698.69,2030.2,1838.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435.59,0,1112.5,0,8.97472,1868.51,904.908,0,2582.78,1322.07,1253.68,5510.01,2424.91,2462.04,3596.28,0,1255.76,1945.81,276.197,0,1071.45,579.412,0,0,0,1688.95,2163.53,0,0,1749.56,0,0,3313.47,0,2632.74,0,0,2944.38,0,0,0,0
C18-neg_Cluster_0002: NA,6391.01,27.4461,8265.9,14.2666,332.206,322.586,0,142.036,365.84,152.942,161.715,4149.7,18.4019,35.1649,1046.19,991.042,2496.9,1166.09,247.064,1337.44,8532.58,991.86,2779.79,2485.54,2894.3,351.531,1039.14,1458.3,1906.93,573.253,389.932,595.841,2799.09,3650.82,580.886,1082.3,651.177,59.7712,961.245,3350.91,1498.61,491.11,169.618,1120.05,741.012,804.8,4952.14,991.497,1249.16,1070.69,332.008,198.398,8518.1,161.821,696.676,265.225,65.8133,380.914,58.9878,125.696,753.427,7051.87,376.584,1783.1,596.612,5424.55,3836.15,1031.37,3957.04,495.912,617.007,548.861,3906.88,1444.73,378.029,2978.57,1139.45,2211.99,6919.43,14456.6,1491.66,4139.04,88.0593,102.268,763.138,207.89,417.119,166.185,2562.83,1204.48,2793.41,658.058,8153.13,2540.72,1414.58,299.611,47.787,202.013,98.7105,20.3909,0,247.132,26.9914,0,57.4217,48.663,48.1491,21.0888,87.4029,141.9,25.5673,77.1176,115.182,64.6044,232.451,148.19,33.5215,20.971,103.731,27.394,56.7207,51.0728,3731.13,227.019,138.277,0,520.982,44.2177,344.97,227.084,45.8003,0,46.2502,170.216,813.906,39.8458,3062.77,1830.9,757.385,45.3968,371.286,1474.22,169.185,62.4059,135.034,20.2145,27.9499,0,42.706,103.052,193.789,125.139,2833.02,689.56,487.412,760.49,1163.13,1888.1,2366.38,1002.63,416.715,1670.71,1256.82,1049.71,433.243,906.093,641.557,344.789,514.035,1248.6,1059.74,467.666,638.462,1526.91,497.799,40.9347,58.5677,572.648,343.174,591.799,321.437,295.347,246.074,182.12,297.522,225.047,410.692,253.65,2303.14,116.26,117.017,115.864,85.4721,209.186,1198.33,1183.93,135.272,396.7,329.045,1161.83,87.4108,427.323,273.009,1075.95,475.514,240.036,1064.5,291.309,169.415,85.3162,145.734,168.967,293.233,1017.67,411.05,453.672,124.752
C18-neg_Cluster_0003: NA,288.808,59.2412,7708.63,57.3647,42.5518,363.142,74.088,326.186,1239.83,375.68,684.325,366.632,22.4035,186.544,235.666,684.029,609.626,1310.72,1316.94,1901.6,685.488,7866.22,1134.63,2372.64,430.631,636.075,101.128,100.427,199.996,246.152,1427.17,1950.99,367.825,1004.18,74.2041,265.594,104.93,727.833,581.934,1571.89,112.457,86.3328,565.921,519.016,444.312,610.106,982.074,8389.25,1587.61,378.729,3382.1,227.727,1553.93,2325.24,12069,71.7441,352.526,273.09,117.142,69.1898,1910.41,3289.17,648.284,213.691,455.788,1638.12,1007.43,743.222,1255.44,142.793,534.753,78.1223,316.604,226.386,56.1088,45.7454,658.109,316.206,1546.59,514.927,1182.24,12666.7,62.4144,558.369,2075.98,134.761,1149.79,240.56,535.032,336.754,951.445,363.181,14927.4,951.329,148.724,8096.43,0,692.387,2370.01,60.6182,97.236,281.015,125.652,161.718,466.277,952.242,214.7,45.0602,1056.56,221.971,65.0541,56.1522,85.8334,314.727,47.2621,85.2573,212.279,0,138.074,60.5488,149.742,659.061,164.624,27.5165,2654.67,331.942,712.187,1271.42,1041.62,634.549,160.424,230.618,66.9642,80.8308,1642.98,100.835,3935.09,4419.34,240.36,220.177,499.666,4257.65,98.7448,2815.35,70.8217,348.423,140.18,0,49.5333,155.134,284.566,0,220.967,307.931,113.497,241.755,1494.26,553.275,1748.6,134.197,176.815,676.94,426.387,356.394,216.985,242.246,337.042,59.6759,149.647,367.129,99.5891,247.823,415.535,311.771,1239.38,98.6108,2919.24,113.029,81.1989,3593.61,84.7168,46.3185,367.611,44.8319,4321.08,0,149.968,610.075,225.94,108.153,568.308,152.944,257.793,1196.01,502.28,113.306,968.845,6763.66,326.205,224.846,78.2683,465.928,99.6271,66.5391,247.685,30.2797,140.181,234.969,99.1709,89.5537,689.002,4714.22,86.8866,71.9505,2631.76,24.7567,544.112
C18-neg_Cluster_0004: 4-hydroxystyrene,603.603,345.589,32.4742,185.238,801.631,0,0,532.358,1767.87,0,1176.73,0,0,25.9046,2211.46,48.9818,306.247,1511,1421.58,38.6447,349.841,52.2929,151.741,538.659,18.2849,317.372,1908.85,16.4705,27.9442,68.5789,32.0888,19.8462,0,746.444,42.8755,1069.47,1391.55,905.257,26.5629,18.2664,1315.48,37.1544,0,409.575,0,236.535,442.006,0,0,0,301.301,2473.66,0,635.344,0,0,0,308.846,0,0,0,255.724,1618.1,0,1487.45,0,0,0,500.174,3064.37,918.432,286.16,2062.41,1984.06,455.865,442.127,342.015,0,1062.68,0,613.01,195.832,0,507.067,18.1951,859.188,0,1151.3,0,33.1672,4.07533,1413.23,28.2307,957.736,37.489,0,1347.19,351.853,141.79,0,352.274,0,130.351,148.523,0,0,228.188,26.5657,0,0,14.5081,9.9657,53.2049,0,107.729,570.263,10.6491,0,24.6307,775.76,435.017,563.419,0,166.96,0,0,0,0,0,27.7454,78.2411,0,182.225,0,0,550.165,1215.84,209.86,0,408.091,178.357,0,0,474.87,21.8715,22.8585,2049.72,0,0,2860.94,156.995,36.8432,0,612.952,147.021,0,25.1811,1206,0,0,43.093,26.8028,0,163.177,58.6743,0,6796.84,11.5015,563.129,844.481,947.748,1687.8,24.9798,0,489.897,33.1708,257.727,374.139,56.6832,1054.88,737.27,1550.25,57.2083,0,525.251,653.156,0,27.9476,1156.66,1433.25,0,16.7607,24.6505,0,1140.85,0,294.755,470.022,2178.22,0,0,3722.72,587.102,0,62.2269,7.90518,0,13.5744,398.82,0,25.4442,0,0,0,941.569,8.39774,1469.01
C18-neg_Cluster_0005: NA,2396.58,430.619,7899.13,270.838,189.095,632.439,675.342,311.979,303.969,75.5967,817.775,4104.13,395.002,364.665,648.122,723.118,2803.42,1663.87,950.664,661.65,6688.68,523.768,1409.33,2041.66,5349.11,348.383,1033.19,1115.86,793.685,1048.84,784.648,420.2,2034.35,2246.35,1264.07,1073.21,248.142,70.3952,1078.07,1182.5,1181.8,296.934,222.466,942.175,168.534,411.728,2390.48,3228.04,303.218,181.495,573.299,436.403,1410.27,738.562,193.999,493.247,83.9,578.186,256.673,432.928,187.151,8183.4,917.388,1634.66,333.972,6408.01,4228.43,1111.01,3445.05,309.123,462.579,330.02,2507.05,510.288,190.995,1536.65,793.229,1179.18,8943.29,7098.45,1202.18,3336.94,128.341,1004.58,1461,998.664,346.687,752.991,1583.38,992.399,1057.58,244.773,7371.27,3087.87,1171.82,92.6331,2029.93,1232.63,136.33,370.547,469.395,688.474,355.508,257.38,386.298,831.538,344.722,251.449,391.287,748.371,264.081,472.259,536.074,507.416,173.575,355.774,85.1932,234.427,377.91,248.01,472.241,400.023,2355.84,1144.29,369.962,355.399,264.903,489.084,404.574,332.643,90.8308,200.212,762.633,160.961,518.592,159.289,924.324,349.083,2580.36,180.847,782.013,1008.04,267.404,481.285,1525.78,801.087,238.997,416.165,1020.15,1592.17,274.487,981.362,834.824,287.954,373.986,664.549,632.509,1151.7,2002.02,1439.01,790.915,954.11,1592.83,726.324,239.01,432.482,767.637,360.98,1510.51,584.325,839.483,363.427,460.973,571.044,201.071,512.236,20.9336,261.623,808.001,802.44,810.713,327.594,338.209,459.848,2028.25,195.021,641.71,486.243,3098.79,423.535,187.199,472.331,502.778,124.436,841.444,350.661,596.346,289.819,390.366,1748.55,489.395,1078.7,289.681,2363.84,510.632,84.9752,790.644,677.783,55.4597,522.122,122.555,145.609,460.117,1052.06,442.108,270.02,79.0947
C18-neg_Cluster_0006: NA,26.1375,81.1189,194.582,7.9044,0,0,0,0,0,0,379.767,540.333,473.794,142.987,559.643,1500.58,91.2658,65.4233,1339.41,0,35.2672,0,138.568,767.118,56.9292,319.436,858.93,305.791,542.953,85.7589,2542.06,0,319.891,2568.45,91.6339,2578.84,175.351,1241.57,649.576,355.793,172.145,394.038,0,401.159,0,9.50935,283.339,0,0,0,0,340.71,0,0,0,248.263,0,1110.1,10.8784,72.4548,0,18.2502,0,114.396,17.8967,117.51,240.06,210.074,17.2555,0,2606.12,176.154,2015.19,6097.05,0,0,155.102,0,245.054,32.3173,175.751,0,0,0,0,31.9608,0,700.954,60.9384,399.96,0,0,178.713,29.3684,1111.85,0,50.7436,15.1509,0,19.143,0,114.247,298.526,0,0,0,29.7014,748.004,0,45.388,60.8525,16.5367,156.287,24.7793,0,429.57,345.452,0,24.4729,511.928,15.191,0,0,28.9601,0,0,0,0,0,22.4697,0,0,11.3338,0,0,0,464.468,23.15,102.109,0,105.78,0,59.8038,0,294.074,0,0,27.4735,0,42.8748,195.062,2789.93,480.575,84.6175,122.221,64.8778,537.077,75.7629,1406.79,23.3525,524.97,2009.03,344.231,0,110.333,62.1647,65.07,0,277.222,293.879,114.438,152.855,18.3981,59.6126,0,111.311,9.25996,0,929.025,55.2521,10792.7,0,9.31854,99.558,0,160.137,110.422,34.4749,2406.27,1585.79,0,133.303,706.929,0,55.4896,56.9328,0,27.1442,84.0118,187.029,91.6016,116.35,53.5018,153.666,248.382,21.1355,79.8777,0,172.199,115.194,203.406,0,117.061,1865.96,304.183,172.58,55.7421
C18-neg_Cluster_0007: NA,19.1678,16.6623,0,0,31.6045,668.848,0,34.1198,5777.91,1542.41,530.819,0,51.7158,12.6546,59.565,44.3408,0,206.018,7728.47,70.0822,0,8.6579,1116.15,347.352,0,4233.1,34.4548,0,1.65983,10.0368,81.8576,0,0,318.801,0,84.755,0,3921.25,23.3267,1.49691,0,0,411.683,9.91406,132.683,0,229.037,0,0,60.9674,94.9372,67.7292,655.362,96.2706,0,10.5425,0,461.377,0,0,0,0,0,0,731.262,34.9042,0,0,0,493.501,7711.08,0,186.668,5178.65,2137.9,34.604,475.139,0,0,0,0,0,0,203.811,514.974,134.723,0,2083.71,0,38.0304,78.9565,38.0456,0,0,16.7792,0,0,673.672,363.628,0,244.708,0,219.06,43.5521,0,175.392,2048.55,29.235,0,273.106,35.8983,18.3903,1763.47,0,0,15.1592,66.6795,332.898,0,5706.94,0,185.624,0,0,2723.69,847.918,569.695,91,114.735,3688.98,0,26.8117,0,22.988,0,12.5814,0,1183.35,0,67.4489,0,0,0,356.723,0.0958007,1167.71,1097.43,90.3467,57.1659,992.811,1041.86,187.897,42.3958,0,12.1889,0,0.280484,0,3.91154,0,0.367271,46.4279,0,333.906,0,0,66.4917,26.145,0,0,234.084,170.292,0,0,7852.69,87.2593,447.899,0,17.1547,643.995,319.47,393.962,57.04,0,39.3225,0,0,22.2375,49.8209,27.5991,0,0,7.45626,913.867,112.199,0,160.096,724.566,27.6408,0,0,267.195,695.63,0,0,0,28.1599,0,0,0,0,43.9487,23.3555,30.2944,190.528,0,182.636
C18-neg_Cluster_0008: NA,6561.1,1079.48,11161.5,338.099,3475.35,411.179,0,441.374,2169.46,1957.87,2484.27,6449.18,224.402,473.941,4302.3,1041.34,645.107,1257.53,1005.26,663.616,7075.03,736.055,4518.23,2716.63,1115.58,2691.71,592.186,358.975,8610.71,1091.84,18109.2,475.485,361.274,4427.16,15186.8,10208.3,6497.29,2108.52,5764.8,13619.8,5598.89,3252.67,1946.85,3922.45,2877,1896.6,3440.75,559.725,40.5593,1995.88,1095.03,6251.81,2552.99,415.018,100.743,2495.54,33.8442,990.106,423.02,769.317,65.3909,10065.6,4500.83,1571.87,2387.56,500.515,2649.61,1147.1,193.873,1379.45,707.877,4605.38,4728.03,5454.41,435.007,4811.44,1925.76,315.309,11203.6,14908.1,1782.31,1160.22,0,3486.93,831.288,495.781,416.509,964.677,12791.3,7134.65,718.204,5654.13,462.002,471.683,1450.2,83.0663,12560.8,609.462,513.106,380.679,112.481,447.752,123.72,94.2057,0,450.979,342.298,203.645,93.642,2003.62,4435.25,1361.54,1922.66,78.5551,109.172,57.4322,1443.42,828.278,3270.55,1006.58,90.3709,1026.19,657.467,842.483,0,340.281,397.658,80.6182,137.169,1478.14,81.2425,73.6552,148.931,96.9882,0,138.464,3939.19,1064.52,433.056,255.904,55.5103,580.381,66.5494,1706.74,1750.46,159.328,2899.1,753.19,1920.7,5319.91,1922.15,2829,18081.3,4018.55,0,1257.91,7931.38,6673.46,2370.01,330.208,1787.51,14173.1,9192.66,7946.77,10517.5,3945.61,15257.6,13936.2,16331.2,4431.1,2438.13,10370.4,7037.77,11871.7,2810.22,24450.5,878.661,966.589,663.082,4211.26,8131.26,4319.54,1877.29,5703.18,1031.28,8018.39,5418.48,6611.25,6862.91,5220.08,40.5413,3697.76,0,1916.14,8802.58,2708.54,190.108,2900.64,8036.61,11029.7,823.895,1514.57,1798.37,11202.7,2645.8,12548.1,5986.53,5994.71,2433.93,9432.7,3435.25,2130.14,1021.82,9970.21,1261.55,8706.5,5637.4
C18-neg_Cluster_0009: NA,202.728,0,3723.64,27.9223,33.1807,46.9163,0,170.4,95.3277,112.903,264.59,167.173,0,103.937,46.1178,447.201,272.964,789.889,324.488,529.718,389.674,677.091,428.391,9742.83,320.205,304.399,0.777024,68.1223,74.6591,188.036,857.47,868.951,74.1306,453.43,0,21.6905,16.9224,548.848,474.297,2182.29,103.662,25.6395,16.6468,188.624,396.989,416.473,187.908,5711.32,883.937,125.024,1184.27,54.3715,443.275,2381.62,726.357,40.8939,377.987,127.744,61.7907,25.2986,1544.26,2311.75,87.3157,203.056,358.323,988.701,629.657,130.733,418.473,194.038,97.4541,31.9413,183.626,117.264,17.2448,0,221.354,104.482,564.851,285.6,1010.66,981.993,43.8098,52.3075,394.749,55.4218,192.151,145.624,110.235,165.304,132.988,274.324,2788.36,113.273,59.3853,14369.7,0,100.965,1176.81,24.8336,34.6364,98.0516,39.3841,0,123.78,455.551,14.517,21.9577,210.897,32.1568,35.7139,30.9442,22.7506,22.5033,61.3375,83.6256,146.359,0,63.8267,38.2998,96.4272,158.673,130.901,18.7328,1040.03,78.01,25.7834,1830,738.662,410.917,103.712,0,23.5944,72.056,175.541,56.1502,495.84,662.496,141.624,152.24,75.952,3944.43,49.4996,410.322,25.5103,0,39.2118,0,0,45.3111,96.2596,27.1407,71.0189,104.607,70.5075,1.46308,834.827,130.994,518.082,8.02945,89.3455,191.42,207.068,96.4666,30.9353,233.502,171.287,0,31.8906,116.023,57.4776,110.975,88.9492,93.074,186.491,21.064,370.931,46.3534,0,260.084,47.582,26.9805,0.503077,2.36536,2736.27,0,62.9898,205.78,44.8773,43.6709,103.606,32.5727,82.092,208.35,100.126,34.4111,165.546,3094.03,5.97306,89.2166,27.8645,0,22.8383,44.5389,55.825,10.6276,25.2066,24.343,39.2387,33.4826,267.282,4547.79,9.91482,54.2494,1436.98,9.95436,384.109
C18-neg_Cluster_0010: NA,161.641,28.6006,3600.81,34.8832,35.7414,875.663,220.177,247.485,881.996,351.832,680.208,280.636,19.6933,127.941,356.631,655.763,407.066,810.248,979.712,1279.62,455.245,5642.02,1032.56,8925.07,686.904,290.423,116.284,100.9,211.242,205.106,1643.28,15025.5,365.233,964.073,513.602,420.73,211.012,597.93,661.754,3506.79,97.8678,224.082,366.107,728.993,628.295,300.16,1211.09,6148.68,3024.73,570.101,15255.5,131.908,2950.99,2534.75,15218.6,64.5034,942.954,456.138,60.4754,47.3905,12506.6,3514.63,581.387,149.886,335.2,1493.82,1138.51,692.682,602.557,24.4348,400.49,63.9805,267.999,824.789,79.4777,79.5782,164.44,416.179,2038.54,410.334,1115.77,21265.8,426.339,456.402,1924.02,30.3495,3246.86,130.114,524.57,643.516,782.377,124.4,17490,1044.69,112.058,18156.6,0,422.47,9399.61,37.7129,44.5599,101.468,115.619,134.899,1627.41,2305.5,42.8147,29.283,4850.16,63.169,42.9817,45.5751,38.5318,89.1347,36.1522,50.1963,231.746,0,70.9592,62.1168,73.8224,286.925,83.517,37.0746,11194.2,220.764,817.01,3849.5,715.81,931.558,116.672,424.419,72.3522,33.4025,2850.38,83.1204,5302.64,5564.11,125.376,454.646,71.5363,7512.33,39.306,2281.06,25.1862,248.149,125.488,0,53.7249,261.084,264.186,62.9281,291.496,488.866,194.232,392.305,1431.98,449.482,1151.61,129.349,169.57,1084.09,320.74,606.74,703.972,545.49,297.526,54.7569,204.756,577.475,134.857,284.849,335.413,508.184,843.485,203.26,2422.21,150.619,28.5109,1905.53,50.2715,58.7276,365.121,81.9723,4029.77,23.5229,74.5587,1705.8,267.932,143.751,3058.14,72.9572,1044.65,1903.7,536.043,94.1377,518.895,10938.4,221.505,474.538,41.7315,780.839,264.919,63.7242,274.723,67.0833,136.678,168.236,27.1181,26.8701,586.622,4315.07,79.4179,73.8093,2239.93,18.952,658.998
C18-neg_Cluster_0011: NA,335.116,213.463,208.28,0,150.151,0,0,31.7116,0,8.87063,13.1597,205.525,19.0951,46.0409,23.0243,3062.41,70.4664,0,0,0,168.862,0,215.111,323.525,2645.39,42.6608,128.817,195.453,268.497,2400.4,2522.5,0,1938.46,41.9369,5868.08,2742.9,0,22.84,4777.15,1793.43,48.5616,4919.1,0,12.5686,0,31.2061,1621.46,0,0,0,0,62.0639,0,23.9894,0,77.2741,0,15.6355,191.072,912.566,0,83.0561,101.218,102.845,29.5145,4235.61,436.076,1854.56,705.728,31.7984,0,9.50853,68.8227,0,110.041,18.649,83.6964,1022.2,304.414,2431.5,326.758,0,0,0,0,9.40745,0,33.1543,4171.37,2809.66,0,73.2981,0,13.3877,355.648,0,0,0,5.66921,309.737,0,140.641,0,0,0,0,0,416.847,0,118.811,932.971,45.3105,0,80.5364,0,335.018,576.786,89.2635,437.446,0,0,16.7619,296.089,27.9849,0,0,0,0,0,0,47.2792,0,0,19.8638,0,0,0,0,1115.66,0,508.565,0,308.211,0,1624.54,0,0,0,0,43.4409,0,102.195,1761.99,1263.02,94.7011,188.369,218.02,1633.47,108.07,246.874,3508.47,2097.52,315.85,1746.82,6888.31,846.185,85.3513,1404.73,1783.87,1070.13,23.4454,234.283,522.233,258.082,0,36.3669,0,511.008,656.512,0,472.202,334.682,113.647,91.8853,0,171.711,398.663,585.222,38.8732,66.1153,0,129.257,156.767,0,22.7664,114.602,0,0,56.2707,5147.6,127.479,49.8776,62.4742,293.556,1848.45,1639.73,63.882,30.6697,77.2572,332.449,41.7493,0,90.4558,477.397,0,136.826,0
C18-neg_Cluster_0012: NA,0,497.591,0,89.5164,0,548.799,30.6488,0,111.4,0,371.797,677.341,225.068,265.108,0,0,0,1353.25,514.821,0,0,0,0,316.835,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25166,0,0,0,0,0,0,0,329.345,0,436.196,0,0,314.407,0,0,483.344,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.7,0,0,0,0,64.5023,0,0,0,221.243,0,0,16.2542,1871.2,0,0,356.995,238.825,320.311,0,662.465,0,0,0,247.121,333.952,0,1161.83,0,2450.64,0,0,0,410.75,0,3562.01,49.246,0,0,0,0,212.032,0,0,0,0,0,0,0,0,0,0,0,94.2459,15.2487,205.592,2532.09,278.014,140.733,0,0,0,0,0,0,402.759,682.25,0,0,0,0,0,0,148.746,0,521.164,0,682.472,0,135.539,255.166,1630.89,670.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003.82,0,533.35,0,8.67329,642.098,325.024,0,1578.87,3328.15,1094.88,1413.88,1158.89,1085.38,743.357,0,1889.11,3715.55,108.075,8.13698,54.2735,391.852,0,0,0,1182.84,1494.25,0,0,209.756,0,0,4200.84,0,285.225,0,0,2638.7,0,0,0,0
C18-neg_Cluster_0013: NA,197.851,462.913,760.302,277.398,156.129,179.338,319.968,188.39,714.766,320.592,1182.24,715.808,723.635,448.095,824.271,172.56,111.675,2363.9,1852.39,990.626,197.86,586.975,555.165,1762.51,478.769,634.668,240.345,165.043,372.06,50.9854,395.085,809.484,317.562,1854.51,139.492,298.175,154.088,2443.45,174.625,142.464,793.836,345.39,407.01,327.064,240.503,64.4144,964.452,2160.09,349.205,245.224,1743.78,530.167,463.845,2034.28,193.664,386.25,189.654,719.794,360.65,276.91,347.177,667.75,86.8642,85.9256,262.648,356.623,528.141,316.555,160.953,225.638,903.311,566.099,1222.55,959.699,244.764,384.097,1177.59,347.139,381.015,253.592,69.1114,298.374,545.69,439.174,989.381,899.777,446.584,1773.32,171.039,376.854,1036.81,626.534,656.109,213.416,261.371,272.032,675.95,623.368,264.42,217.829,1971.95,451.143,218.414,912.624,1563.02,1033.07,502.346,400.583,1243.81,610.079,598.095,1510.09,307.016,274.2,80.8773,294.423,285.165,196.344,459.893,887.757,425.109,351.822,436.507,727.932,1944.8,898.988,992.089,1011.61,1465.46,1409.89,171.582,210.71,716.208,532.583,194.575,189.717,2013.45,3750.17,571.93,94.5544,511.036,810.445,224.177,1208.44,903.601,795.016,898.294,513.229,531.783,2987.02,502.533,780.552,197.921,140.567,295.904,475.124,256.351,395.818,415.735,382.153,828.371,357.34,515.187,712.368,424.427,279.559,2782.21,104.804,284.895,221.518,894.368,2199.69,139.523,132.379,632.889,932.88,250.745,464.435,288.665,757.654,713.99,355.892,1273.06,516.532,1029.08,139.133,127.536,677.36,719.135,319.996,89.1011,452.243,111.895,386.702,128.478,65.445,431.245,842.696,151.694,211.489,575.646,1328.15,568.107,995.59,356.496,96.3952,359.835,532.284,61.2714,217.317,81.6963,191.879,537.298,678.261,649.201,102.232,176.286
